allele,frequency
C08:06,3.8e-06
C08:07,2.4e-06
C08:10,1.1e-06
C08:12,2.9e-06
C08:15,1e-06
C08:30,1e-06
C12:02,0.0087
C12:03,0.0486
C12:04,4.8e-06
C12:05,3.04e-05
C12:06,1.6e-06
C12:09,6e-07
C12:12,2.5e-06
C12:13,6.9e-06
C12:14,1.5e-06
C12:16,2.2e-06
C12:21,2.1e-06
C12:24,5e-07
C12:34,1.4e-06
C12:51,6e-07
C14:02,0.0127
C14:03,6.29e-05
C14:04,1.96e-05
C14:05,5.7e-06
C14:11,3.3e-06
C15:02,0.0223
C15:03,8e-07
C15:04,7.52e-05
C15:05,0.0035
C15:06,5.12e-05
C15:07,3.4e-06
C15:09,1.33e-05
C15:11,7.48e-05
C15:15,8e-07
C15:16,2.3e-06
C15:17,7e-07
C15:23,1e-06
C16:01,0.0338
C16:02,0.0027
C16:04,0.0006
C16:07,1e-06
C16:27,8e-07
C17:01,0.0088
C18:01,0.0003
